text,final label,prediction,predicted_sentiment
forest fires environmental management,neutral,1.0,negative
climate change environmental management,negative,1.0,negative
forest fires environmental management,negative,1.0,negative
climate change environmental management,negative,1.0,negative
climate change environmental management,positive,1.0,negative
climate change environmental management,negative,1.0,negative
deforestation environmental management,negative,1.0,negative
climate change environmental management,positive,1.0,negative
climate change environmental management,negative,1.0,negative
climate change environmental management,negative,1.0,negative
climate change environmental management,neutral,1.0,negative
forest fires environmental management,negative,1.0,negative
forest fires environmental management,negative,1.0,negative
climate change environmental management,negative,1.0,negative
forest fires environmental management,negative,1.0,negative
forest fires environmental management,negative,1.0,negative
electric car environmental management,positive,0.0,positive
forest fires environmental management,negative,1.0,negative
forest fires environmental management,negative,1.0,negative
forest fires environmental management,positive,1.0,negative
nature preserve environmental management,positive,2.0,neutral
forest fires environmental management,negative,1.0,negative
forest fires environmental management,positive,1.0,negative
forest fires environmental management,positive,1.0,negative
forest fires environmental management,negative,1.0,negative
forest fires environmental management,negative,1.0,negative
protected forest environmental management,negative,1.0,negative
electric car environmental management,neutral,0.0,positive
forest fires environmental management,negative,1.0,negative
climate change environmental management,positive,1.0,negative
climate change environmental management,neutral,1.0,negative
climate change environmental management,positive,1.0,negative
mangrove forest environmental management,positive,0.0,positive
forest fires environmental management,negative,1.0,negative
electric car environmental management,neutral,0.0,positive
carbon emission environmental management,positive,0.0,positive
forest fires environmental management,negative,1.0,negative
climate change environmental management,negative,1.0,negative
climate change environmental management,negative,1.0,negative
electric vehicle environmental management,neutral,0.0,positive
forest fires environmental management,negative,1.0,negative
climate change environmental management,negative,1.0,negative
electric car environmental management,neutral,0.0,positive
forest fires environmental management,negative,1.0,negative
electric car environmental management,positive,0.0,positive
electric car environmental management,negative,0.0,positive
recycle environmental management,positive,0.0,positive
carbon emission environmental management,negative,0.0,positive
protected forest environmental management,negative,1.0,negative
recycle environmental management,positive,0.0,positive
ecotourism environmental management,neutral,0.0,positive
climate change environmental management,positive,1.0,negative
forest fires environmental management,negative,1.0,negative
forest fires environmental management,negative,1.0,negative
electric car environmental management,negative,0.0,positive
forest fires environmental management,negative,1.0,negative
forest fires environmental management,positive,1.0,negative
forest fires environmental management,negative,1.0,negative
forest fires environmental management,negative,1.0,negative
climate change environmental management,positive,1.0,negative
forest fires environmental management,negative,1.0,negative
biodiversity environmental management,neutral,0.0,positive
forest fires environmental management,negative,1.0,negative
forest fires environmental management,positive,1.0,negative
nickel environmental management,negative,1.0,negative
forest fires environmental management,negative,1.0,negative
forest fires environmental management,negative,1.0,negative
forest fires environmental management,neutral,1.0,negative
climate change environmental management,negative,1.0,negative
electric car environmental management,negative,0.0,positive
climate change environmental management,positive,1.0,negative
climate change environmental management,neutral,1.0,negative
